Tema,Año,Mes,Marca,Modelo,Tipo,Segmento,Produccion
Producción de vehículos,2005,Junio,Ford Motor,H - 215,Camiones ligeros,Pick Ups, 1 724
Producción de vehículos,2005,Junio,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups, 8 088
Producción de vehículos,2005,Junio,General Motors,Aztek SUV,Camiones ligeros,SUV's,0
Producción de vehículos,2005,Junio,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 2 282
Producción de vehículos,2005,Junio,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 1 638
Producción de vehículos,2005,Junio,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 2 143
Producción de vehículos,2005,Junio,General Motors,Escalade ESV SUV AWD,Camiones ligeros,Minivans,652
Producción de vehículos,2005,Junio,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,619
Producción de vehículos,2005,Junio,General Motors,HHR 5 PTAS,Automóviles,Compactos, 1 218
Producción de vehículos,2005,Junio,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,3
Producción de vehículos,2005,Junio,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,151
Producción de vehículos,2005,Junio,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,213
Producción de vehículos,2005,Junio,General Motors,Rendezvous,Camiones ligeros,Minivans, 2 228
Producción de vehículos,2005,Junio,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,359
Producción de vehículos,2005,Junio,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,475
Producción de vehículos,2005,Junio,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,480
Producción de vehículos,2005,Junio,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 11 537
Producción de vehículos,2005,Junio,General Motors,Sunfire 4 Ptas,Automóviles,Compactos,0
Producción de vehículos,2005,Junio,General Motors,Sunfire GT 2 Ptas,Automóviles,Compactos,566
Producción de vehículos,2005,Junio,Honda,Accord,Automóviles,De Lujo, 2 045
Producción de vehículos,2005,Junio,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 1 459
Producción de vehículos,2005,Junio,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,185
Producción de vehículos,2005,Junio,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups,987
Producción de vehículos,2005,Junio,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2005,Junio,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,383
Producción de vehículos,2005,Junio,Nissan,Platina 4 PTS,Automóviles,Subcompactos, 4 252
Producción de vehículos,2005,Junio,Nissan,Sentra 4 PTS,Automóviles,Compactos, 14 056
Producción de vehículos,2005,Junio,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2005,Junio,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 6 810
Producción de vehículos,2005,Junio,Renault,Clio,Automóviles,Subcompactos, 1 090
Producción de vehículos,2005,Junio,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2005,Junio,Volkswagen,Beetle,Automóviles,Compactos, 3 389
Producción de vehículos,2005,Junio,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 2 513
Producción de vehículos,2005,Junio,Volkswagen,Bora,Automóviles,Compactos, 15 508
Producción de vehículos,2005,Junio,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 4 442
Producción de vehículos,2005,Julio,Chrysler,PT Cruiser,Automóviles,Compactos, 7 196
